time_s,p_hull_kg_m_s,p_photon_kg_m_s,p_total_kg_m_s
0.0,-5.0034614279722804e-09,5.0034614279722804e-09,0.0
1e-09,-1.0006922855944561e-08,1.0006922855944561e-08,0.0
2e-09,-1.501038428391684e-08,1.501038428391684e-08,0.0
3.0000000000000004e-09,-2.0013845711889122e-08,2.0013845711889122e-08,0.0
4e-09,-2.5017307139861402e-08,2.5017307139861402e-08,0.0
5e-09,-3.002076856783368e-08,3.002076856783368e-08,0.0
6.000000000000001e-09,-3.5024229995805966e-08,3.5024229995805966e-08,0.0
7.000000000000001e-09,-4.0027691423778243e-08,4.0027691423778243e-08,0.0
8e-09,-4.503115285175052e-08,4.503115285175052e-08,0.0
9.000000000000001e-09,-5.00346142797228e-08,5.0034614279722804e-08,6.617444900424222e-24
1e-08,-5.5038075707695075e-08,5.503807570769509e-08,1.3234889800848443e-23
1.1000000000000001e-08,-6.004153713566735e-08,6.004153713566737e-08,1.3234889800848443e-23
1.2000000000000002e-08,-6.504499856363963e-08,6.504499856363964e-08,1.3234889800848443e-23
1.3e-08,-7.00484599916119e-08,7.004845999161193e-08,2.6469779601696886e-23
1.4000000000000001e-08,-7.505192141958418e-08,7.505192141958421e-08,2.6469779601696886e-23
1.5000000000000002e-08,-8.005538284755646e-08,8.005538284755649e-08,2.6469779601696886e-23
1.6e-08,-8.505884427552874e-08,8.505884427552876e-08,2.6469779601696886e-23
1.7e-08,-9.006230570350101e-08,9.006230570350104e-08,2.6469779601696886e-23
1.8000000000000002e-08,-9.506576713147329e-08,9.506576713147333e-08,3.970466940254533e-23
1.9e-08,-1.0006922855944557e-07,1.0006922855944561e-07,3.970466940254533e-23
2e-08,-1.0507268998741785e-07,1.0507268998741789e-07,3.970466940254533e-23
2.1000000000000003e-08,-1.1007615141539012e-07,1.1007615141539018e-07,5.293955920339377e-23
2.2000000000000002e-08,-1.150796128433624e-07,1.1507961284336245e-07,5.293955920339377e-23
2.3e-08,-1.2008307427133468e-07,1.2008307427133473e-07,5.293955920339377e-23
2.4000000000000003e-08,-1.2508653569930695e-07,1.25086535699307e-07,5.293955920339377e-23
2.5000000000000002e-08,-1.3008999712727923e-07,1.3008999712727928e-07,5.293955920339377e-23
2.6e-08,-1.350934585552515e-07,1.3509345855525156e-07,5.293955920339377e-23
2.7e-08,-1.4009691998322379e-07,1.4009691998322387e-07,7.940933880509066e-23
2.8000000000000003e-08,-1.4510038141119606e-07,1.4510038141119614e-07,7.940933880509066e-23
2.9e-08,-1.5010384283916834e-07,1.5010384283916842e-07,7.940933880509066e-23
3.0000000000000004e-08,-1.5510730426714062e-07,1.551073042671407e-07,7.940933880509066e-23
3.1e-08,-1.601107656951129e-07,1.6011076569511297e-07,7.940933880509066e-23
3.2e-08,-1.6511422712308517e-07,1.6511422712308525e-07,7.940933880509066e-23
3.3000000000000004e-08,-1.7011768855105745e-07,1.7011768855105753e-07,7.940933880509066e-23
3.4e-08,-1.7512114997902973e-07,1.751211499790298e-07,7.940933880509066e-23
3.5e-08,-1.80124611407002e-07,1.8012461140700208e-07,7.940933880509066e-23
3.6000000000000005e-08,-1.8512807283497428e-07,1.8512807283497439e-07,1.0587911840678754e-22
3.7e-08,-1.9013153426294656e-07,1.9013153426294666e-07,1.0587911840678754e-22
3.8e-08,-1.9513499569091883e-07,1.9513499569091894e-07,1.0587911840678754e-22
3.9000000000000005e-08,-2.001384571188911e-07,2.0013845711889122e-07,1.0587911840678754e-22
4e-08,-1.951399991523468e-07,1.951399991523469e-07,1.0587911840678754e-22
4.1e-08,-1.9014154118580249e-07,1.901415411858026e-07,1.0587911840678754e-22
4.2000000000000006e-08,-1.8514308321925817e-07,1.851430832192583e-07,1.3234889800848443e-22
4.3e-08,-1.8014462525271386e-07,1.80144625252714e-07,1.3234889800848443e-22
4.4000000000000004e-08,-1.7514616728616955e-07,1.7514616728616968e-07,1.3234889800848443e-22
4.5000000000000006e-08,-1.7014770931962523e-07,1.7014770931962537e-07,1.3234889800848443e-22
4.6e-08,-1.6514925135308092e-07,1.6514925135308105e-07,1.3234889800848443e-22
4.7000000000000004e-08,-1.601507933865366e-07,1.6015079338653674e-07,1.3234889800848443e-22
4.8000000000000006e-08,-1.551523354199923e-07,1.5515233541999246e-07,1.5881867761018131e-22
4.9e-08,-1.5015387745344798e-07,1.5015387745344814e-07,1.5881867761018131e-22
5.0000000000000004e-08,-1.4515541948690367e-07,1.4515541948690383e-07,1.5881867761018131e-22
5.1e-08,-1.4015696152035936e-07,1.4015696152035952e-07,1.5881867761018131e-22
5.2e-08,-1.3515850355381505e-07,1.351585035538152e-07,1.5881867761018131e-22
